median_salary,population_size,number_of_jobs,area_size,mean_salary
24937.0,152489.0,82000.0,3726.0,32985.0
28347.0,277620.0,141000.0,2725.0,36464.0
28022.0,254930.0,80000.0,3532.0,30443.0
25991.0,190583.0,85000.0,3762.0,30422.0
26331.0,253798.0,84000.0,3857.0,28450.0
26462.0,251560.0,84000.0,5644.0,30087.0
26809.0,181508.0,88000.0,5876.0,30298.0
29534.0,261811.0,201000.0,2991.0,36022.0
25714.0,182103.0,72000.0,4385.0,29187.0
39493.0,213382.0,198000.0,2158.0,71063.0
21931.0,226747.0,76000.0,3881.0,25800.0
26549.0,283229.0,124000.0,3522.0,31455.0
32519.0,223132.0,614000.0,2203.0,50430.0
29882.0,7519009.0,4706000.0,159471.0,41707.0
32230.0,2957048.0,,32796.0,48936.0
26176.0,4561961.0,,126676.0,30404.0
23280.0,50606034.0,26478000.0,13303728.0,28928.0
22888.0,60413276.0,31377000.0,,28191.0
46292.0,7254.0,337000.0,315.0,85886.0
26549.0,167157.0,51000.0,3780.0,28660.0
26071.0,330801.0,138000.0,8675.0,30923.0
24719.0,223280.0,73000.0,6429.0,28847.0
25279.0,276504.0,110000.0,4323.0,29712.0
32418.0,211032.0,280000.0,2179.0,40593.0
26049.0,340449.0,148000.0,8650.0,29842.0
26354.0,315329.0,136000.0,5554.0,32130.0
25088.0,287429.0,106000.0,8220.0,28912.0
27363.0,233990.0,81000.0,5044.0,29714.0
30105.0,220193.0,88000.0,1905.0,34874.0
30464.0,174675.0,133000.0,1715.0,42838.0
27020.0,233174.0,82000.0,2960.0,29726.0
25575.0,223632.0,83000.0,5046.0,30342.0
26394.0,228198.0,86000.0,11446.0,28459.0
28771.0,254387.0,201000.0,11570.0,32034.0
26853.0,228126.0,132000.0,5659.0,34303.0
33995.0,185283.0,181000.0,1486.0,50794.0
26619.0,165245.0,132000.0,1238.0,33350.0
25640.0,153667.0,99000.0,3726.0,32566.0
29930.0,280524.0,137000.0,2725.0,38233.0
27021.0,257976.0,73000.0,3532.0,30142.0
24883.0,192520.0,79000.0,3762.0,29305.0
27162.0,257994.0,80000.0,3857.0,30873.0
27940.0,255590.0,74000.0,5644.0,31319.0
28610.0,182520.0,84000.0,5876.0,33258.0
31575.0,267553.0,210000.0,2991.0,39075.0
25102.0,182882.0,71000.0,4385.0,28965.0
38975.0,218400.0,203000.0,2158.0,62719.0
23074.0,230731.0,70000.0,3881.0,27449.0
27405.0,287538.0,128000.0,3522.0,32887.0
33474.0,222829.0,605000.0,2203.0,53229.0
30355.0,7597825.0,4615000.0,159471.0,43557.0
33333.0,2989670.0,,32796.0,51556.0
26399.0,4608155.0,,126676.0,31096.0
23729.0,50965186.0,26307000.0,13303728.0,29836.0
23367.0,60827067.0,31185000.0,,29079.0
49955.0,7607.0,350000.0,315.0,86778.0
30200.0,169031.0,52000.0,3780.0,31994.0
27436.0,334837.0,136000.0,8675.0,33007.0
26457.0,224625.0,74000.0,6429.0,30375.0
25763.0,283273.0,111000.0,4323.0,28503.0
25666.0,302625.0,136000.0,15013.0,35021.0
33059.0,211520.0,296000.0,2179.0,40595.0
25965.0,344029.0,152000.0,8650.0,29341.0
27490.0,318671.0,140000.0,5554.0,34374.0
26325.0,291534.0,108000.0,8220.0,28949.0
29319.0,236535.0,82000.0,5044.0,32003.0
28996.0,224480.0,95000.0,1905.0,35390.0
33535.0,176472.0,134000.0,1715.0,46996.0
26281.0,236793.0,81000.0,2960.0,29032.0
26107.0,226355.0,83000.0,5046.0,31063.0
26079.0,229789.0,82000.0,11446.0,29418.0
30290.0,256981.0,202000.0,11570.0,33992.0
27547.0,233454.0,136000.0,5659.0,34303.0
34779.0,188636.0,201000.0,1486.0,53641.0
28355.0,162883.0,128000.0,1238.0,33248.0
27274.0,154485.0,86000.0,3726.0,33513.0
30633.0,284964.0,138000.0,2725.0,41050.0
27673.0,261188.0,75000.0,3532.0,29832.0
26346.0,194260.0,78000.0,3762.0,30731.0
27434.0,266285.0,80000.0,3857.0,32363.0
29429.0,259965.0,79000.0,5644.0,33111.0
30881.0,182421.0,89000.0,5876.0,37366.0
32000.0,272626.0,222000.0,2991.0,39710.0
25182.0,184174.0,71000.0,4385.0,28531.0
41117.0,225251.0,211000.0,2158.0,72749.0
25034.0,235665.0,67000.0,3881.0,27129.0
30513.0,291440.0,130000.0,3522.0,38209.0
35315.0,220619.0,623000.0,2203.0,52597.0
31484.0,7693473.0,4728000.0,159471.0,45027.0
34415.0,3030764.0,,32796.0,53119.0
27478.0,4662709.0,,126676.0,32073.0
24480.0,51381093.0,26606000.0,13303728.0,30802.0
24043.0,61319075.0,31516000.0,,30015.0
50503.0,7429.0,348000.0,315.0,82973.0
29396.0,172452.0,53000.0,3780.0,31795.0
27978.0,339212.0,140000.0,8675.0,34468.0
28326.0,226652.0,73000.0,6429.0,31305.0
27326.0,290901.0,109000.0,4323.0,29631.0
27236.0,304968.0,130000.0,15013.0,33378.0
35314.0,210273.0,307000.0,2179.0,42816.0
27482.0,349308.0,146000.0,8650.0,31842.0
29439.0,324022.0,131000.0,5554.0,35772.0
25550.0,297443.0,111000.0,8220.0,28930.0
30766.0,239748.0,81000.0,5044.0,33637.0
31589.0,231041.0,96000.0,1905.0,39016.0
,177088.0,135000.0,1715.0,46620.0
29859.0,244459.0,78000.0,2960.0,31703.0
27627.0,229567.0,77000.0,5046.0,31746.0
28800.0,231793.0,87000.0,11446.0,32386.0
31291.0,261051.0,206000.0,11570.0,37349.0
29475.0,237907.0,137000.0,5659.0,39109.0
36357.0,192089.0,205000.0,1486.0,58261.0
30217.0,162579.0,131000.0,1238.0,37538.0
26583.0,156027.0,87000.0,3726.0,33180.0
30566.0,289126.0,140000.0,2725.0,41396.0
29403.0,266508.0,77000.0,3532.0,31399.0
28363.0,195859.0,81000.0,3762.0,31929.0
29467.0,276478.0,77000.0,3857.0,34686.0
29283.0,265452.0,83000.0,5644.0,32261.0
32437.0,182927.0,90000.0,5876.0,37760.0
31227.0,276973.0,245000.0,2991.0,40353.0
26082.0,185860.0,80000.0,4385.0,29869.0
41880.0,231893.0,220000.0,2158.0,70217.0
26609.0,242098.0,68000.0,3881.0,28814.0
30808.0,294305.0,129000.0,3522.0,40916.0
36048.0,218673.0,639000.0,2203.0,59836.0
32813.0,7812161.0,4799000.0,159471.0,47116.0
35774.0,3078914.0,,32796.0,55236.0
28608.0,4733247.0,,126676.0,33547.0
25549.0,51815853.0,26611000.0,13303728.0,32358.0
25165.0,61823772.0,31553000.0,,31494.0
52092.0,7472.0,362000.0,315.0,80769.0
30973.0,177580.0,47000.0,3780.0,33126.0
30496.0,345829.0,143000.0,8675.0,35013.0
28222.0,228146.0,73000.0,6429.0,31988.0
27503.0,298118.0,110000.0,4323.0,31033.0
26951.0,306924.0,119000.0,15013.0,33329.0
36375.0,212924.0,309000.0,2179.0,45633.0
28225.0,352763.0,134000.0,8650.0,33826.0
28234.0,329966.0,128000.0,5554.0,34873.0
27828.0,301971.0,107000.0,8220.0,31584.0
29871.0,243672.0,80000.0,5044.0,33344.0
33107.0,236622.0,101000.0,1905.0,46556.0
36525.0,180116.0,132000.0,1715.0,45516.0
28515.0,249805.0,75000.0,2960.0,30817.0
27532.0,233495.0,77000.0,5046.0,31352.0
28317.0,234127.0,80000.0,11446.0,30993.0
31584.0,265665.0,197000.0,11570.0,37424.0
31672.0,243366.0,138000.0,5659.0,42241.0
36981.0,196704.0,206000.0,1486.0,55027.0
29901.0,161893.0,129000.0,1238.0,36101.0
27497.0,157307.0,84000.0,3726.0,33834.0
33415.0,294050.0,149000.0,2725.0,44262.0
30891.0,270418.0,75000.0,3532.0,32708.0
27662.0,198136.0,79000.0,3762.0,30330.0
31028.0,286447.0,80000.0,3857.0,34487.0
31235.0,270435.0,79000.0,5644.0,32648.0
31733.0,184394.0,84000.0,5876.0,40992.0
34265.0,281120.0,236000.0,2991.0,41548.0
26111.0,188167.0,72000.0,4385.0,29775.0
43987.0,240495.0,217000.0,2158.0,62526.0
27651.0,248140.0,69000.0,3881.0,29524.0
32373.0,299347.0,125000.0,3522.0,41202.0
36765.0,216980.0,640000.0,2203.0,55752.0
33700.0,7942594.0,4739000.0,159471.0,46765.0
37252.0,3134393.0,,32796.0,54227.0
29085.0,4808201.0,,126676.0,34297.0
26133.0,52196381.0,26246000.0,13303728.0,32680.0
25806.0,62260486.0,31106000.0,,31900.0
52271.0,7338.0,388000.0,315.0,81938.0
28527.0,182838.0,51000.0,3780.0,32996.0
30000.0,351438.0,141000.0,8675.0,34077.0
27738.0,230711.0,77000.0,6429.0,30821.0
25997.0,304785.0,114000.0,4323.0,29353.0
27712.0,308560.0,120000.0,15013.0,32841.0
36527.0,214725.0,307000.0,2179.0,45461.0
28586.0,357951.0,138000.0,8650.0,33117.0
28732.0,334073.0,128000.0,5554.0,33845.0
26967.0,307648.0,112000.0,8220.0,32009.0
31821.0,249171.0,82000.0,5044.0,34526.0
35149.0,241739.0,101000.0,1905.0,44663.0
35033.0,180842.0,139000.0,1715.0,42271.0
29597.0,252742.0,72000.0,2960.0,32517.0
27921.0,237451.0,78000.0,5046.0,32746.0
28235.0,236234.0,82000.0,11446.0,32068.0
31586.0,269465.0,192000.0,11570.0,38406.0
31307.0,249236.0,143000.0,5659.0,41634.0
34551.0,200129.0,197000.0,1486.0,49859.0
30196.0,160463.0,129000.0,1238.0,36450.0
28240.0,158648.0,85000.0,3726.0,33688.0
33821.0,297650.0,151000.0,2725.0,43030.0
30806.0,272525.0,73000.0,3532.0,32007.0
27441.0,199136.0,78000.0,3762.0,31666.0
32578.0,299171.0,80000.0,3857.0,39102.0
30086.0,275088.0,78000.0,5644.0,32421.0
32249.0,186304.0,85000.0,5876.0,39837.0
35050.0,283777.0,228000.0,2991.0,41481.0
26288.0,189321.0,73000.0,4385.0,30375.0
44443.0,248520.0,223000.0,2158.0,69029.0
27755.0,254009.0,66000.0,3881.0,30773.0
31818.0,302620.0,118000.0,3522.0,39318.0
37836.0,217187.0,644000.0,2203.0,56080.0
33990.0,8061495.0,4772000.0,159471.0,46945.0
37463.0,3179428.0,,32796.0,54573.0
29182.0,4882067.0,,126676.0,34275.0
26265.0,52642452.0,26295000.0,13303728.0,33014.0
25882.0,62759456.0,31093000.0,,32204.0
54381.0,7412.0,436000.0,315.0,90842.0
28201.0,187029.0,54000.0,3780.0,33568.0
30237.0,357538.0,147000.0,8675.0,33062.0
28638.0,232774.0,78000.0,6429.0,31812.0
26772.0,312245.0,115000.0,4323.0,29609.0
28163.0,310554.0,119000.0,15013.0,32863.0
35967.0,220087.0,331000.0,2179.0,45588.0
28979.0,364815.0,136000.0,8650.0,33050.0
28646.0,339314.0,148000.0,5554.0,34725.0
26412.0,313935.0,110000.0,8220.0,31797.0
29932.0,255483.0,81000.0,5044.0,32581.0
33512.0,247182.0,113000.0,1905.0,42089.0
36143.0,182445.0,140000.0,1715.0,42531.0
28032.0,255540.0,74000.0,2960.0,30446.0
27540.0,240499.0,76000.0,5046.0,32342.0
28415.0,237927.0,82000.0,11446.0,31947.0
33589.0,275499.0,202000.0,11570.0,39436.0
32759.0,254927.0,150000.0,5659.0,41142.0
35996.0,206285.0,201000.0,1486.0,60068.0
31491.0,158251.0,137000.0,1238.0,38220.0
28997.0,160436.0,80000.0,3726.0,34459.0
34836.0,304481.0,150000.0,2725.0,43657.0
29567.0,276938.0,75000.0,3532.0,30506.0
28066.0,200543.0,86000.0,3762.0,32415.0
29998.0,310460.0,89000.0,3857.0,36870.0
29829.0,281395.0,77000.0,5644.0,31948.0
32197.0,187527.0,95000.0,5876.0,37122.0
36124.0,288717.0,247000.0,2991.0,48938.0
26743.0,191123.0,78000.0,4385.0,29656.0
45970.0,256012.0,251000.0,2158.0,86593.0
28005.0,259742.0,71000.0,3881.0,31926.0
32033.0,307710.0,125000.0,3522.0,38695.0
37406.0,219582.0,674000.0,2203.0,54049.0
34396.0,8204407.0,5028000.0,159471.0,49831.0
37851.0,3241102.0,,32796.0,58760.0
29399.0,4963305.0,,126676.0,34251.0
26488.0,53107169.0,26874000.0,13303728.0,33514.0
26095.0,63285145.0,31743000.0,,32691.0
54000.0,7604.0,449000.0,315.0,86987.0
33131.0,190560.0,55000.0,3780.0,37059.0
29594.0,363956.0,154000.0,8675.0,33044.0
27440.0,234271.0,78000.0,6429.0,30833.0
27577.0,314660.0,123000.0,4323.0,32089.0
28082.0,314036.0,122000.0,15013.0,33859.0
36962.0,224962.0,344000.0,2179.0,44832.0
28974.0,368886.0,141000.0,8650.0,33831.0
31104.0,340671.0,148000.0,5554.0,35024.0
27123.0,317287.0,117000.0,8220.0,31749.0
30097.0,260068.0,82000.0,5044.0,32764.0
34803.0,252119.0,112000.0,1905.0,41030.0
35136.0,179850.0,147000.0,1715.0,44065.0
29116.0,258912.0,80000.0,2960.0,31874.0
26738.0,242377.0,79000.0,5046.0,31817.0
28326.0,239733.0,84000.0,11446.0,31759.0
33822.0,281756.0,213000.0,11570.0,39849.0
31821.0,259052.0,160000.0,5659.0,41688.0
36653.0,211047.0,206000.0,1486.0,58131.0
30726.0,155930.0,144000.0,1238.0,37192.0
29067.0,163906.0,81000.0,3726.0,36381.0
35280.0,310200.0,152000.0,2725.0,44271.0
29995.0,281556.0,78000.0,3532.0,30823.0
28613.0,202225.0,89000.0,3762.0,32742.0
30540.0,314084.0,97000.0,3857.0,35465.0
28100.0,284617.0,88000.0,5644.0,30371.0
31505.0,189145.0,92000.0,5876.0,36411.0
36056.0,293530.0,270000.0,2991.0,47611.0
25247.0,193630.0,79000.0,4385.0,29407.0
44880.0,263003.0,253000.0,2158.0,64782.0
27235.0,262566.0,77000.0,3881.0,30738.0
31262.0,308312.0,136000.0,3522.0,35295.0
37649.0,223858.0,698000.0,2203.0,55529.0
34883.0,8308369.0,5229000.0,159471.0,48367.0
38225.0,3284967.0,,32796.0,55931.0
29382.0,5023402.0,,126676.0,34595.0
26822.0,53493729.0,27117000.0,13303728.0,33529.0
26472.0,63705030.0,31957000.0,,32814.0
54202.0,7648.0,463000.0,315.0,83403.0
32248.0,194352.0,54000.0,3780.0,37214.0
29353.0,369088.0,159000.0,8675.0,33766.0
28512.0,236687.0,80000.0,6429.0,32463.0
28034.0,317264.0,125000.0,4323.0,34480.0
28126.0,317899.0,129000.0,15013.0,34133.0
36336.0,229719.0,355000.0,2179.0,45539.0
30939.0,372752.0,130000.0,8650.0,35213.0
29733.0,342494.0,152000.0,5554.0,33210.0
25805.0,320524.0,118000.0,8220.0,30011.0
29251.0,264008.0,86000.0,5044.0,33060.0
33097.0,257379.0,111000.0,1905.0,39044.0
34554.0,178685.0,141000.0,1715.0,42349.0
29609.0,263386.0,84000.0,2960.0,32408.0
25784.0,243373.0,78000.0,5046.0,31504.0
29858.0,242080.0,91000.0,11446.0,32758.0
35738.0,286808.0,213000.0,11570.0,40911.0
31173.0,262407.0,167000.0,5659.0,38522.0
37325.0,215671.0,220000.0,1486.0,56967.0
31307.0,155594.0,141000.0,1238.0,37906.0
29450.0,166793.0,80000.0,3726.0,35167.0
35397.0,314242.0,168000.0,2725.0,43350.0
30478.0,286180.0,82000.0,3532.0,30909.0
28610.0,203223.0,96000.0,3762.0,31960.0
29334.0,318227.0,104000.0,3857.0,32807.0
31215.0,288272.0,84000.0,5644.0,33442.0
31997.0,191365.0,95000.0,5876.0,36611.0
36198.0,298465.0,256000.0,2991.0,43807.0
30061.0,195914.0,77000.0,4385.0,33223.0
46441.0,272890.0,269000.0,2158.0,73376.0
,265797.0,81000.0,3881.0,31143.0
31491.0,310516.0,134000.0,3522.0,36917.0
36946.0,226841.0,717000.0,2203.0,51094.0
35173.0,8416543.0,5341000.0,159471.0,47962.0
38274.0,3335443.0,,32796.0,55061.0
30148.0,5081100.0,,126676.0,34950.0
27372.0,53865817.0,27545000.0,13303728.0,33967.0
27011.0,64105654.0,32408000.0,,33283.0
54710.0,8072.0,498000.0,315.0,82808.0
32698.0,198294.0,59000.0,3780.0,36323.0
31162.0,374915.0,165000.0,8675.0,34936.0
28505.0,239865.0,80000.0,6429.0,31878.0
29514.0,320762.0,131000.0,4323.0,33484.0
27926.0,321278.0,127000.0,15013.0,33458.0
36748.0,234846.0,379000.0,2179.0,44629.0
31154.0,376040.0,142000.0,8650.0,34769.0
28825.0,342118.0,159000.0,5554.0,32716.0
25805.0,324574.0,127000.0,8220.0,29804.0
28954.0,268678.0,95000.0,5044.0,31690.0
33116.0,263150.0,131000.0,1905.0,40241.0
33688.0,178365.0,148000.0,1715.0,38677.0
30325.0,267541.0,90000.0,2960.0,33616.0
26037.0,246011.0,89000.0,5046.0,29957.0
30003.0,245974.0,90000.0,11446.0,33536.0
33984.0,292690.0,220000.0,11570.0,42606.0
33038.0,265568.0,164000.0,5659.0,41473.0
36751.0,221030.0,231000.0,1486.0,59007.0
